DayID,Date,Open,High,Low,Close,Volume,Adj Close
1,07/02/2017,176,178.619995,175.899994,178.460007,3873500,177.060012
2,06/02/2017,175.309998,175.979996,174.380005,175.860001,2650800,174.480403
3,03/02/2017,175,176.339996,174.889999,175.820007,3309300,174.440723
4,02/02/2017,174.229996,174.970001,173.550003,174.580002,2620500,173.210445
5,01/02/2017,175,175.699997,172.889999,174.289993,2795700,172.922712
6,31/01/2017,175.050003,175.580002,173.610001,174.520004,4139000,173.150918
7,30/01/2017,176.979996,177.070007,174.580002,175.800003,4094800,174.420876
8,27/01/2017,178.470001,179.199997,177.300003,177.300003,3482300,175.909108
9,26/01/2017,178.059998,178.880005,177.509995,178.660004,3063900,177.25844
10,25/01/2017,176.259995,179.25,176.130005,178.289993,5922500,176.891332
11,24/01/2017,171.360001,176,171.160004,175.899994,6952400,174.520082
12,23/01/2017,170.080002,171.25,170.009995,171.029999,5478200,169.688291
13,20/01/2017,167.809998,170.639999,166,170.550003,12690000,169.212061
14,19/01/2017,166.960007,167.449997,165.800003,166.809998,6963400,165.501396
15,18/01/2017,167.449997,168.589996,166.690002,166.800003,4007800,165.491479
16,17/01/2017,166.690002,168.179993,166.119995,167.889999,3315700,166.572925
17,13/01/2017,167.970001,168.479996,166.880005,167.339996,2875400,166.027237
18,12/01/2017,167.770004,168.009995,165.559998,167.949997,2927500,166.632452
19,11/01/2017,166.050003,167.759995,165.600006,167.75,3599500,166.434024
20,10/01/2017,167.979996,168.089996,165.339996,165.520004,4118700,164.221522
21,09/01/2017,169.470001,169.800003,167.619995,167.649994,3184700,166.334802
22,06/01/2017,168.690002,169.919998,167.520004,169.529999,2945500,168.200059
23,05/01/2017,169.25,169.389999,167.259995,168.699997,2682300,167.376568
24,04/01/2017,167.770004,169.869995,167.360001,169.259995,3381400,167.932173
25,03/01/2017,167,167.869995,166.009995,167.190002,2934300,165.878419
26,30/12/2016,166.440002,166.699997,165.5,165.990005,2952800,164.687836
27,29/12/2016,166.020004,166.990005,166,166.600006,1663500,165.293051
28,28/12/2016,167.289993,167.740005,166,166.190002,1757500,164.886264
29,27/12/2016,166.979996,167.979996,166.850006,167.139999,1397500,165.828809
30,23/12/2016,167,167.490005,166.449997,166.710007,1701200,165.402189
31,22/12/2016,167.360001,168.229996,166.580002,167.059998,2802600,165.749434
32,21/12/2016,166.25,167.940002,165.25,167.330002,3575700,166.017321
33,20/12/2016,167.490005,168.25,166.449997,167.600006,2174600,166.285207
34,19/12/2016,166.830002,167.259995,166,166.679993,2955900,165.372411
35,16/12/2016,168.970001,169.110001,166.059998,166.729996,7120600,165.422021
36,15/12/2016,168.009995,169.850006,167.779999,168.020004,3388600,166.70191
37,14/12/2016,168.369995,169.889999,167.449997,168.509995,4124200,167.188056
38,13/12/2016,165.679993,169.949997,165.679993,168.289993,5932300,166.969781
39,12/12/2016,166.720001,166.789993,165.070007,165.5,3392300,164.201675
40,09/12/2016,165.179993,166.720001,164.600006,166.520004,3146900,165.213677
41,08/12/2016,164.869995,166,164.220001,165.360001,3266400,164.062774
42,07/12/2016,160.600006,165.179993,160.389999,164.789993,4435100,163.497238
43,06/12/2016,160.130005,160.789993,158.929993,160.350006,2859000,159.092082
44,05/12/2016,160.850006,161.149994,159.589996,159.839996,3447100,158.586073
45,02/12/2016,159,160.289993,158.410004,160.020004,2740900,158.764669
46,01/12/2016,161.949997,162.199997,158.300003,159.820007,4635700,158.566241
47,30/11/2016,163.350006,163.800003,162.210007,162.220001,4397800,160.947407
48,29/11/2016,164,164.410004,163.029999,163.529999,3148200,162.247128
49,28/11/2016,163.199997,164.660004,162.699997,164.520004,4449400,163.229367
50,25/11/2016,161.830002,163.190002,161.830002,163.139999,1605300,161.860188
51,23/11/2016,161.940002,162.380005,161.360001,161.979996,2252700,160.709284
52,22/11/2016,163,163,161.949997,162.669998,2770800,161.393874
53,21/11/2016,160.690002,163,160.369995,162.770004,4637100,161.493096
54,18/11/2016,159.800003,160.720001,159.210007,160.389999,2981600,159.131761
55,17/11/2016,159.220001,159.929993,158.850006,159.800003,2261200,158.546394
56,16/11/2016,158.460007,159.550003,158.029999,159.289993,2252800,158.040385
57,15/11/2016,158.419998,159.149994,157.550003,158.669998,3477000,157.425253
58,14/11/2016,161.25,161.860001,157.580002,158.210007,5196500,156.968871
59,11/11/2016,159.970001,161.339996,159.330002,161.270004,4446600,160.004863
60,10/11/2016,157.660004,161.160004,157.589996,160.220001,7715800,158.963097
61,09/11/2016,152.960007,155.559998,151,154.809998,5403700,153.595534
62,08/11/2016,154.559998,155.929993,153.059998,155.169998,3921900,153.95271
